participant_id,condition,difficulty,n_trials,mean_rt_correct_key_ms,main_finger_accuracy,valid_event_count,centroid_level
P05,C,gamma,3,775.6541119681464,100.0,90,participant
P06,A,alpha,3,430.80435064103864,22.222222222222225,90,participant
P06,A,beta,3,410.4876431468803,17.77777777777778,90,participant
P06,A,gamma,3,605.7732502619425,11.111111111111112,90,participant
P06,B,alpha,3,1018.258515993754,96.66666666666667,90,participant
P06,B,beta,3,1071.2330049938626,96.66666666666667,90,participant
P06,B,gamma,3,1149.9822431140476,93.33333333333333,90,participant
P06,C,alpha,3,803.7310043970743,100.0,90,participant
P06,C,beta,3,817.8831497828165,100.0,90,participant
P06,C,gamma,3,742.8726779090034,100.0,90,participant
P07,A,alpha,3,424.23848840925433,18.88888888888889,90,participant
P07,A,beta,3,453.7600487128072,18.88888888888889,90,participant
P07,A,gamma,3,473.2271620140222,21.11111111111111,90,participant
P07,B,alpha,3,907.6461050245498,98.8888888888889,90,participant
P07,B,beta,3,813.737792438931,97.77777777777779,90,participant
P07,B,gamma,3,931.3023514217799,97.77777777777777,90,participant
P07,C,alpha,3,857.1536355548436,93.33333333333333,90,participant
P07,C,beta,3,778.1477477815416,96.66666666666667,90,participant
P07,C,gamma,3,852.882471121134,96.66666666666667,90,participant
P08,A,alpha,3,503.7724759843614,23.333333333333332,90,participant
P08,A,beta,3,584.9853088115823,31.11111111111111,90,participant
P08,A,gamma,3,796.619995435079,12.222222222222221,90,participant
P08,B,alpha,3,1069.81434557173,92.22222222222223,90,participant
P08,B,beta,3,1145.886731147766,88.8888888888889,90,participant
P08,B,gamma,3,1268.3153487387158,84.44444444444444,90,participant
P08,C,alpha,3,653.3672332763672,98.8888888888889,90,participant
P08,C,beta,3,754.6447621451483,98.8888888888889,90,participant
P08,C,gamma,3,735.3164911270142,96.66666666666667,90,participant
